step,discrete_cut,gap,entropy
366,1105.0,32232.0,
367,1233.0,32104.0,
368,682.0,32655.0,
369,-369.0,33706.0,
370,1181.0,32156.0,
371,134.0,33203.0,
372,-772.0,34109.0,
373,881.0,32456.0,
374,266.0,33071.0,
375,762.0,32575.0,
376,206.0,33131.0,
377,1599.0,31738.0,
378,718.0,32619.0,
379,677.0,32660.0,
380,1906.0,31431.0,
381,389.0,32948.0,
382,264.0,33073.0,
383,1143.0,32194.0,
384,1318.0,32019.0,
385,-587.0,33924.0,
386,1248.0,32089.0,
387,1189.0,32148.0,
388,506.0,32831.0,
389,1314.0,32023.0,
390,206.0,33131.0,
391,2028.0,31309.0,
392,-8.0,33345.0,
393,1055.0,32282.0,
394,19.0,33318.0,
395,121.0,33216.0,
396,628.0,32709.0,
397,1335.0,32002.0,
398,1646.0,31691.0,
399,-960.0,34297.0,
400,1183.0,32154.0,
401,1110.0,32227.0,
402,182.0,33155.0,
403,1075.0,32262.0,
404,-80.0,33417.0,
405,960.0,32377.0,
406,435.0,32902.0,
407,470.0,32867.0,
408,1617.0,31720.0,
409,868.0,32469.0,
410,457.0,32880.0,
411,1098.0,32239.0,
412,679.0,32658.0,
413,1090.0,32247.0,
414,-84.0,33421.0,
415,-402.0,33739.0,
416,1733.0,31604.0,
417,298.0,33039.0,
418,34.0,33303.0,
419,762.0,32575.0,
420,278.0,33059.0,
421,1445.0,31892.0,
422,938.0,32399.0,
423,436.0,32901.0,
424,591.0,32746.0,
425,490.0,32847.0,
426,1266.0,32071.0,
427,179.0,33158.0,
428,-810.0,34147.0,
429,-55.0,33392.0,
430,1124.0,32213.0,
431,1399.0,31938.0,
432,490.0,32847.0,
433,436.0,32901.0,
434,95.0,33242.0,
435,861.0,32476.0,
436,882.0,32455.0,
437,143.0,33194.0,
438,766.0,32571.0,
439,279.0,33058.0,
440,-128.0,33465.0,
441,-557.0,33894.0,
442,9.0,33328.0,
443,561.0,32776.0,
444,897.0,32440.0,
445,-887.0,34224.0,
446,-99.0,33436.0,
447,-1230.0,34567.0,
448,1095.0,32242.0,
449,1704.0,31633.0,
450,-569.0,33906.0,
451,182.0,33155.0,
452,1301.0,32036.0,
453,312.0,33025.0,
454,-1174.0,34511.0,
455,-493.0,33830.0,
456,43.0,33294.0,
457,377.0,32960.0,
458,-1279.0,34616.0,
459,-589.0,33926.0,
460,505.0,32832.0,
461,276.0,33061.0,
462,-1295.0,34632.0,
463,13.0,33324.0,
464,266.0,33071.0,
465,-210.0,33547.0,
466,-1316.0,34653.0,
467,-996.0,34333.0,
468,-1334.0,34671.0,
469,-807.0,34144.0,
470,-1620.0,34957.0,
471,-2746.0,36083.0,
472,-2730.0,36067.0,
473,-4706.0,38043.0,
474,-7717.0,41054.0,
475,-10607.0,43944.0,
476,-17270.0,50607.0,
477,-20973.0,54310.0,
478,-23691.0,57028.0,
479,-26506.0,59843.0,
480,-27605.0,60942.0,
481,-28042.0,61379.0,
482,-28293.0,61630.0,
483,-28382.0,61719.0,
484,-28488.0,61825.0,
485,-28554.0,61891.0,
486,-28361.0,61698.0,
487,-28331.0,61668.0,
488,-28539.0,61876.0,
489,-28339.0,61676.0,
490,-28512.0,61849.0,
491,-28485.0,61822.0,
492,-28548.0,61885.0,
493,-28614.0,61951.0,
494,-28609.0,61946.0,
495,-28650.0,61987.0,
496,-28624.0,61961.0,
497,-28622.0,61959.0,
498,-28643.0,61980.0,
499,-28628.0,61965.0,
500,-28645.0,61982.0,
501,-28582.0,61919.0,
502,-28571.0,61908.0,
503,-28657.0,61994.0,
504,-28662.0,61999.0,
505,-28663.0,62000.0,
506,-28663.0,62000.0,
507,-28620.0,61957.0,
508,-28625.0,61962.0,
509,-28629.0,61966.0,
510,-28632.0,61969.0,
511,-28640.0,61977.0,
512,-28672.0,62009.0,
513,-28717.0,62054.0,
514,-28679.0,62016.0,
515,-28767.0,62104.0,
516,-28767.0,62104.0,
517,-28710.0,62047.0,
518,-28696.0,62033.0,
519,-28695.0,62032.0,
520,-28795.0,62132.0,
521,-28903.0,62240.0,
522,-29183.0,62520.0,
523,-29811.0,63148.0,
524,-30959.0,64296.0,
525,-27219.0,60556.0,
526,-25598.0,58935.0,
527,-27708.0,61045.0,
528,-29072.0,62409.0,
529,-27944.0,61281.0,
530,-24427.0,57764.0,
531,-26905.0,60242.0,
532,-28152.0,61489.0,
533,-22585.0,55922.0,
534,-22748.0,56085.0,
535,-25070.0,58407.0,
536,-24118.0,57455.0,
537,-3747.0,37084.0,
538,-10299.0,43636.0,
539,-5228.0,38565.0,
540,14558.0,18779.0,
541,19844.0,13493.0,
542,20456.0,12881.0,
543,24619.0,8718.0,
544,26633.0,6704.0,
545,26083.0,7254.0,
546,27362.0,5975.0,
547,27722.0,5615.0,
548,27665.0,5672.0,
549,27482.0,5855.0,
550,27963.0,5374.0,
551,27544.0,5793.0,
552,26898.0,6439.0,
553,27870.0,5467.0,
554,27973.0,5364.0,
555,27780.0,5557.0,
556,28351.0,4986.0,
557,28395.0,4942.0,
558,28986.0,4351.0,
559,28939.0,4398.0,
560,28945.0,4392.0,
561,28920.0,4417.0,
562,28784.0,4553.0,
563,28759.0,4578.0,
564,28745.0,4592.0,
565,28408.0,4929.0,
566,28366.0,4971.0,
567,28721.0,4616.0,
568,29044.0,4293.0,
569,28694.0,4643.0,
570,29204.0,4133.0,
571,29287.0,4050.0,
572,29001.0,4336.0,
573,29157.0,4180.0,
574,29081.0,4256.0,
575,29239.0,4098.0,
576,29234.0,4103.0,
577,29151.0,4186.0,
578,29252.0,4085.0,
579,29481.0,3856.0,
580,29378.0,3959.0,
581,29385.0,3952.0,
582,29417.0,3920.0,
583,29455.0,3882.0,
584,29458.0,3879.0,
585,29371.0,3966.0,
586,29408.0,3929.0,
587,29318.0,4019.0,
588,29386.0,3951.0,
589,29378.0,3959.0,
590,29483.0,3854.0,
591,29493.0,3844.0,
592,29402.0,3935.0,
593,29469.0,3868.0,
594,29558.0,3779.0,
595,29501.0,3836.0,
596,29646.0,3691.0,
597,29684.0,3653.0,
598,29651.0,3686.0,
599,29722.0,3615.0,
600,29680.0,3657.0,
601,29639.0,3698.0,
602,29667.0,3670.0,
603,29728.0,3609.0,
604,29759.0,3578.0,
605,29706.0,3631.0,
606,29687.0,3650.0,
607,29682.0,3655.0,
608,29753.0,3584.0,
609,29802.0,3535.0,
610,29705.0,3632.0,
611,29765.0,3572.0,
612,29797.0,3540.0,
