step,temperature,beta,gamma_base,gamma_pulse,gamma
177,1.0578742,0.945292,0.91195595,0.0,0.91195595
178,1.0572939,0.9458108,0.91145575,0.0,0.91145575
179,1.0567137,0.94633013,0.9109555,0.0,0.9109555
180,1.0561334,0.9468501,0.9104552,0.0,0.9104552
181,1.0555532,0.9473705,0.90995497,0.0,0.90995497
182,1.0549729,0.94789165,0.9094547,0.0,0.9094547
183,1.0543926,0.9484134,0.9089545,0.0,0.9089545
184,1.0538124,0.9489355,0.90845424,0.0,0.90845424
185,1.0532321,0.94945836,0.907954,0.0,0.907954
186,1.0526519,0.9499817,0.9074537,0.0,0.9074537
187,1.0520716,0.9505057,0.90695345,0.0,0.90695345
188,1.0514913,0.95103025,0.90645325,0.0,0.90645325
189,1.0509111,0.9515553,0.905953,0.0,0.905953
190,1.0503308,0.952081,0.9054527,0.0,0.9054527
191,1.0497506,0.9526073,0.90495247,0.0,0.90495247
192,1.0491703,0.9531342,0.9044522,0.0,0.9044522
193,1.0485901,0.9536615,0.903952,0.0,0.903952
194,1.0480098,0.9541896,0.90345174,0.0,0.90345174
195,1.0474296,0.9547181,0.9029515,0.0,0.9029515
196,1.0468493,0.9552474,0.9024512,0.0,0.9024512
197,1.0462689,0.9557772,0.90195096,0.0,0.90195096
198,1.0456887,0.95630753,0.90145075,0.0,0.90145075
199,1.0451084,0.9568385,0.9009505,0.0,0.9009505
200,1.0445282,0.95737,0.9004502,0.0,0.9004502
201,1.0439479,0.9579022,0.89994997,0.0,0.89994997
202,1.0433676,0.95843494,0.8994497,0.0,0.8994497
203,1.0427874,0.9589682,0.8989495,0.0,0.8989495
204,1.0422071,0.95950216,0.89844924,0.0,0.89844924
205,1.0416269,0.96003664,0.897949,0.0,0.897949
206,1.0410466,0.96057177,0.8974487,0.0,0.8974487
207,1.0404664,0.96110743,0.89694846,0.0,0.89694846
208,1.0398861,0.96164376,0.8964482,0.0,0.8964482
209,1.0393058,0.96218073,0.895948,0.0,0.895948
210,1.0387256,0.9627181,0.89544773,0.0,0.89544773
211,1.0381453,0.9632563,0.89494747,0.0,0.89494747
212,1.0375651,0.96379495,0.8944472,0.0,0.8944472
213,1.0369848,0.9643343,0.89394695,0.0,0.89394695
214,1.0364046,0.96487415,0.89344674,0.0,0.89344674
215,1.0358243,0.9654147,0.8929465,0.0,0.8929465
216,1.035244,0.96595585,0.8924462,0.0,0.8924462
217,1.0346638,0.96649754,0.89194596,0.0,0.89194596
218,1.0340835,0.9670399,0.8914457,0.0,0.8914457
219,1.0335033,0.96758276,0.8909455,0.0,0.8909455
220,1.032923,0.9681264,0.89044523,0.0,0.89044523
221,1.0323428,0.9686705,0.889945,0.0,0.889945
222,1.0317625,0.96921533,0.8894447,0.0,0.8894447
223,1.0311822,0.9697608,0.88894445,0.0,0.88894445
224,1.030602,0.9703067,0.8884442,0.0,0.8884442
225,1.0300217,0.9708534,0.887944,0.0,0.887944
226,1.0294415,0.97140056,0.8874437,0.0,0.8874437
227,1.0288612,0.97194844,0.88694346,0.0,0.88694346
228,1.028281,0.97249687,0.8864432,0.0,0.8864432
229,1.0277007,0.973046,0.88594294,0.0,0.88594294
230,1.0271204,0.97359574,0.88544273,0.0,0.88544273
231,1.0265402,0.974146,0.8849425,0.0,0.8849425
232,1.0259598,0.974697,0.8844422,0.0,0.8844422
233,1.0253797,0.9752485,0.88394195,0.0,0.88394195
234,1.0247993,0.97580075,0.8834417,0.0,0.8834417
235,1.024219,0.97635365,0.8829415,0.0,0.8829415
236,1.0236388,0.9769071,0.8824412,0.0,0.8824412
237,1.0230585,0.97746116,0.88194096,0.0,0.88194096
238,1.0224783,0.97801584,0.8814407,0.0,0.8814407
239,1.021898,0.97857124,0.88094044,0.0,0.88094044
240,1.0213178,0.9791271,0.88044024,0.0,0.88044024
241,1.0207375,0.97968376,0.87994,0.0,0.87994
242,1.0201573,0.98024094,0.8794397,0.0,0.8794397
243,1.019577,0.9807989,0.87893945,0.0,0.87893945
244,1.0189967,0.98135746,0.8784392,0.0,0.8784392
245,1.0184165,0.9819165,0.877939,0.0,0.877939
246,1.0178362,0.98247635,0.8774387,0.0,0.8774387
247,1.017256,0.9830367,0.87693846,0.0,0.87693846
248,1.0166757,0.9835978,0.8764382,0.0,0.8764382
249,1.0160954,0.9841595,0.87593794,0.0,0.87593794
250,1.0155152,0.98472184,0.87543774,0.0,0.87543774
251,1.0149349,0.98528486,0.8749375,0.0,0.8749375
252,1.0143547,0.9858484,0.8744372,0.0,0.8744372
253,1.0137744,0.98641276,0.87393695,0.0,0.87393695
254,1.0131942,0.98697764,0.8734367,0.0,0.8734367
255,1.0126139,0.9875432,0.8729365,0.0,0.8729365
256,1.0120337,0.9881094,0.8724362,0.0,0.8724362
257,1.0114534,0.9886763,0.87193596,0.0,0.87193596
258,1.0108731,0.98924387,0.8714357,0.0,0.8714357
259,1.0102929,0.98981196,0.87093544,0.0,0.87093544
260,1.0097126,0.9903808,0.87043524,0.0,0.87043524
261,1.0091324,0.9909503,0.869935,0.0,0.869935
262,1.0085521,0.99152046,0.8694347,0.0,0.8694347
263,1.0079718,0.9920913,0.86893445,0.0,0.86893445
264,1.0073916,0.99266267,0.8684342,0.0,0.8684342
265,1.0068113,0.9932348,0.867934,0.0,0.867934
266,1.0062311,0.9938075,0.8674337,0.0,0.8674337
267,1.0056508,0.994381,0.86693347,0.0,0.86693347
268,1.0050704,0.9949551,0.8664332,0.0,0.8664332
269,1.0044903,0.99552983,0.86593294,0.0,0.86593294
270,1.00391,0.99610525,0.86543274,0.0,0.86543274
271,1.0033298,0.9966813,0.8649325,0.0,0.8649325
272,1.0027494,0.99725807,0.8644322,0.0,0.8644322
273,1.0021693,0.99783546,0.86393195,0.0,0.86393195
274,1.001589,0.99841356,0.8634317,0.0,0.8634317
275,1.0010087,0.99899226,0.8629315,0.0,0.8629315
276,1.0004284,0.99957174,0.8624312,0.0,0.8624312
277,0.9998482,1.0001519,0.86193097,0.0,0.86193097
278,0.99926794,1.0007325,0.8614307,0.0,0.8614307
279,0.9986876,1.001314,0.86093044,0.0,0.86093044
280,0.9981074,1.0018963,0.86043024,0.0,0.86043024
