graph,step,temperature,beta,gamma,loss,mean_expected_cut,max_expected_cut,step_best_raw_cut,global_best_raw_cut_so_far,mean_entropy,mean_driver_energy,mean_free_energy,mean_R,mean_abs_rx,mean_abs_rz,frac_polarized,frac_ambiguous,run_group,partition,graph_type
G11,500,0.8704501390457153,1.1488308906555176,0.7503751516342163,-785.5985107421875,250.0525665283203,253.346923828125,556.0,556.0,255.89524841308594,-312.80194091796875,-785.5985107421875,0.8006205558776855,0.5210759043693542,0.57015061378479,0.0,0.03061523288488388,small_1_3,2,toroidal
G11,550,0.8414371609687805,1.1884428262710571,0.7253626585006714,-773.7801513671875,286.017333984375,289.4994201660156,556.0,556.0,228.3262939453125,-295.6405334472656,-773.7801513671875,0.8291970491409302,0.5094702243804932,0.6160262227058411,0.0,0.02924804575741291,small_1_3,2,toroidal
G11,600,0.8124241828918457,1.230884075164795,0.7003501653671265,-761.0325927734375,314.11663818359375,317.64990234375,556.0,556.0,207.26148986816406,-278.53173828125,-761.0325927734375,0.8494938611984253,0.4971294403076172,0.6503159999847412,0.0,0.02988281100988388,small_1_3,2,toroidal
G11,650,0.7834111452102661,1.2764689922332764,0.6753376722335815,-748.080078125,337.2901611328125,340.8048095703125,556.0,556.0,190.35838317871094,-261.66107177734375,-748.080078125,0.8648845553398132,0.48431524634361267,0.6777369379997253,0.0,0.031220702454447746,small_1_3,2,toroidal
G11,700,0.7543981075286865,1.3255600929260254,0.6503251791000366,-735.2619018554688,357.2093811035156,360.6670837402344,556.0,556.0,176.1905517578125,-245.134765625,-735.2619018554688,0.8772071599960327,0.47117725014686584,0.7007821202278137,0.0,0.03296874836087227,small_1_3,2,toroidal
G11,750,0.7253851294517517,1.3785780668258667,0.6253126859664917,-722.742431640625,374.8372497558594,378.31085205078125,556.0,556.0,163.90045166015625,-229.01419067382812,-722.742431640625,0.8874915838241577,0.45779937505722046,0.7208524346351624,0.0,0.03263671696186066,small_1_3,2,toroidal
G11,800,0.6963721513748169,1.4360138177871704,0.600300133228302,-710.6038208007812,390.747802734375,394.296875,556.0,556.0,152.96572875976562,-213.33493041992188,-710.6038208007812,0.8963369727134705,0.4442255198955536,0.7387411594390869,0.0,0.03265624865889549,small_1_3,2,toroidal
G11,850,0.6673591136932373,1.498443603515625,0.5752876400947571,-698.88818359375,405.2956848144531,408.91510009765625,556.0,556.0,143.06207275390625,-198.11865234375,-698.88818359375,0.9041056632995605,0.4304773509502411,0.7549433708190918,0.0,0.03246093541383743,small_1_3,2,toroidal
G11,900,0.6383461356163025,1.566548228263855,0.5502750873565674,-687.6162109375,418.70745849609375,422.39605712890625,556.0,556.0,133.98373413085938,-183.38070678710938,-687.6162109375,0.9110257029533386,0.41656601428985596,0.7697473168373108,0.0,0.032451171427965164,small_1_3,2,toroidal
G11,950,0.6093330979347229,1.6411384344100952,0.5252625942230225,-676.7970581054688,431.1338806152344,434.88604736328125,556.0,556.0,125.59720611572266,-169.13265991210938,-676.7970581054688,0.9172465205192566,0.40249550342559814,0.7833750247955322,0.0,0.03267578035593033,small_1_3,2,toroidal
G11,1000,0.5803201198577881,1.7231868505477905,0.5002501010894775,-666.433349609375,442.6797790527344,446.49224853515625,556.0,556.0,117.81343078613281,-155.38409423828125,-666.433349609375,0.9228709936141968,0.388265997171402,0.7960308194160461,0.0,0.03373046964406967,small_1_3,2,toroidal
G11,1050,0.5513070821762085,1.813871145248413,0.4752376079559326,-656.5234985351562,453.4208984375,457.29034423828125,556.0,556.0,110.57110595703125,-142.1439971923828,-656.5234985351562,0.927973747253418,0.37387609481811523,0.8077711462974548,0.033183593302965164,0.03604492172598839,small_1_3,2,toroidal
