partition,graph,step,beta,gamma,loss,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,best_known_cut,gap,accuracy_percent,R_mean,rx_abs_mean,rz_abs_mean,best_replica_so_far,elapsed_sec
10,G55,500,1.7223249673843384,0.500500500202179,-10682.56640625,-10682.56640625,9072.5185546875,9117.767578125,10142.75,10189.0,10189.0,10299.0,110.0,98.93193513933392,0.8641000986099243,0.3678582906723022,0.7362400889396667,43,7.43271017074585
10,G55,550,1.913672685623169,0.4504504799842834,-10594.291015625,-10594.291015625,9284.5224609375,9330.55078125,10146.3671875,10192.0,10192.0,10299.0,107.0,98.96106418098844,0.8870595693588257,0.3437437415122986,0.7741909027099609,43,8.108215093612671
10,G55,600,2.152850866317749,0.4004004001617431,-10502.998046875,-10502.998046875,9450.484375,9496.1298828125,10148.2890625,10192.0,10192.0,10299.0,107.0,98.96106418098844,0.9039480090141296,0.3173596560955047,0.8048847913742065,43,8.759332180023193
10,G55,650,2.460355520248413,0.3503503799438476,-10415.359375,-10415.359375,9586.58984375,9632.130859375,10149.0546875,10193.0,10193.0,10299.0,106.0,98.97077386153995,0.9172614812850952,0.2890163362026214,0.8311409950256348,28,9.454599857330322
10,G55,700,2.8703441619873047,0.3003003001213074,-10334.576171875,-10334.576171875,9700.826171875,9746.373046875,10149.3046875,10194.0,10194.0,10299.0,105.0,98.98048354209146,0.9282485246658324,0.2587945163249969,0.8539758324623108,43,10.111536026000977
10,G55,750,3.4442949295043945,0.2502502799034118,-10262.47265625,-10262.47265625,9797.2314453125,9842.51953125,10149.4765625,10194.0,10194.0,10299.0,105.0,98.98048354209146,0.9375667572021484,0.2268037050962448,0.8737392425537109,43,10.759927034378052
10,G55,800,4.305146217346191,0.2002002000808715,-10200.099609375,-10200.099609375,9877.9677734375,9923.330078125,10149.6328125,10195.0,10195.0,10299.0,104.0,98.99019322264296,0.9455395340919496,0.1930000633001327,0.8907809257507324,43,11.401397943496704
10,G55,850,5.739701271057129,0.150150179862976,-10148.099609375,-10148.099609375,9944.0595703125,9989.2373046875,10149.7109375,10195.0,10195.0,10299.0,104.0,98.99019322264296,0.9523226618766784,0.1573454290628433,0.9051708579063416,43,12.060248136520386
10,G55,900,8.608070373535156,0.1001001000404357,-10106.888671875,-10106.888671875,9995.9775390625,10040.9326171875,10149.7890625,10195.0,10195.0,10299.0,104.0,98.99019322264296,0.958013355731964,0.1197943091392517,0.9170022010803224,43,12.665048122406006
10,G55,950,17.207260131835938,0.0500500798225402,-10076.6982421875,-10076.6982421875,10033.921875,10078.73828125,10149.8125,10195.0,10195.0,10299.0,104.0,98.99019322264296,0.9627118706703186,0.0800373256206512,0.9270119667053224,43,13.288550853729248
10,G55,1000,16666.66796875,0.0,-10058.275390625,-10058.275390625,10058.25390625,10103.005859375,10149.828125,10195.0,10195.0,10299.0,104.0,98.99019322264296,0.9665459990501404,0.0302473660558462,0.9461546540260316,43,13.868522882461548
10,G56,1,0.8620690107345581,1.0,-4042.963134765625,-4042.963134765625,-27.0,-27.0,-71.5,86.0,86.0,4017.0,3931.0,2.1409011700273837,0.0100994780659675,0.0100992256775498,6.973522977204993e-05,72,0.011491060256958
10,G56,50,0.9065311551094056,0.9509509801864624,-3874.30078125,-3874.30078125,-27.0,-27.0,-16.515625,123.0,123.0,4017.0,3894.0,3.061986557132188,0.0167990531772375,0.0167990531772375,3.7171400890656514e-06,122,0.5932629108428955
10,G56,100,0.9568911194801332,0.900900900363922,-3730.5654296875,-3730.5654296875,-27.0,-27.0,-274.5859375,-136.0,123.0,4017.0,3894.0,3.061986557132188,0.031085442751646,0.031085442751646,6.112123855928075e-07,122,1.1729340553283691
