step,discrete_energy,gap,entropy
55,620.0,2212.0,594.2501831054688
56,590.0,2182.0,593.77197265625
57,572.0,2164.0,594.8961791992188
58,652.0,2244.0,596.6198120117188
59,608.0,2200.0,597.6683349609375
60,648.0,2240.0,597.445556640625
61,670.0,2262.0,596.3718872070312
62,658.0,2250.0,595.44775390625
63,702.0,2294.0,595.3687744140625
64,724.0,2316.0,596.0196533203125
65,646.0,2238.0,596.67626953125
66,704.0,2296.0,596.7596435546875
67,630.0,2222.0,596.3486328125
68,628.0,2220.0,595.96875
69,616.0,2208.0,595.982421875
70,584.0,2176.0,596.267333984375
71,510.0,2102.0,596.4498901367188
72,574.0,2166.0,596.3809204101562
73,604.0,2196.0,596.2099609375
74,636.0,2228.0,596.154541015625
75,590.0,2182.0,596.244140625
76,582.0,2174.0,596.3450317382812
77,646.0,2238.0,596.321044921875
78,592.0,2184.0,596.223388671875
79,474.0,2066.0,596.2257690429688
80,584.0,2176.0,596.3238525390625
81,646.0,2238.0,596.3120727539062
82,614.0,2206.0,596.2264404296875
83,584.0,2176.0,596.2682495117188
84,644.0,2236.0,596.3173217773438
85,480.0,2072.0,596.2612915039062
86,624.0,2216.0,596.2696533203125
87,634.0,2226.0,596.306884765625
88,498.0,2090.0,596.2728271484375
89,518.0,2110.0,596.2604370117188
90,646.0,2238.0,596.3402099609375
91,512.0,2104.0,596.2091064453125
92,536.0,2128.0,596.355224609375
93,656.0,2248.0,596.224853515625
94,540.0,2132.0,596.339599609375
95,560.0,2152.0,596.177001953125
96,644.0,2236.0,596.2642211914062
97,560.0,2152.0,596.3226318359375
98,598.0,2190.0,596.0711059570312
99,548.0,2140.0,596.3831176757812
100,736.0,2328.0,596.1766357421875
101,536.0,2128.0,596.1953125
102,522.0,2114.0,596.3096923828125
103,562.0,2154.0,596.148681640625
104,598.0,2190.0,596.2803955078125
105,532.0,2124.0,596.2296142578125
106,582.0,2174.0,596.2574462890625
107,634.0,2226.0,596.25830078125
108,624.0,2216.0,596.1639404296875
109,568.0,2160.0,596.3984985351562
110,600.0,2192.0,596.1770629882812
111,490.0,2082.0,596.1630859375
112,476.0,2068.0,596.49365234375
113,512.0,2104.0,596.0787963867188
114,584.0,2176.0,596.2625122070312
115,600.0,2192.0,596.4583129882812
116,536.0,2128.0,596.025146484375
117,608.0,2200.0,596.37744140625
118,540.0,2132.0,596.313232421875
119,516.0,2108.0,596.1412353515625
120,494.0,2086.0,596.39208984375
121,554.0,2146.0,596.15576171875
122,442.0,2034.0,596.3134765625
123,320.0,1912.0,596.296875
124,358.0,1950.0,596.142333984375
125,426.0,2018.0,596.3751831054688
126,290.0,1882.0,596.1265258789062
127,278.0,1870.0,596.2500610351562
128,206.0,1798.0,596.216064453125
129,62.0,1654.0,595.9691772460938
130,116.0,1708.0,596.2275390625
131,156.0,1748.0,595.670654296875
132,86.0,1678.0,595.7801513671875
133,118.0,1710.0,595.40234375
134,16.0,1608.0,594.9346923828125
135,-172.0,1420.0,594.982177734375
136,-350.0,1242.0,594.2889404296875
137,-286.0,1306.0,594.24072265625
138,-456.0,1136.0,593.8507080078125
139,-492.0,1100.0,593.2279663085938
140,-480.0,1112.0,593.03515625
141,-618.0,974.0,591.8671875
142,-760.0,832.0,591.0128173828125
143,-880.0,712.0,589.6234741210938
144,-900.0,692.0,587.8135986328125
145,-1008.0,584.0,586.4985961914062
146,-996.0,596.0,584.298828125
147,-1050.0,542.0,582.86376953125
148,-1152.0,440.0,581.2693481445312
149,-1146.0,446.0,579.4278564453125
150,-1238.0,354.0,578.8410034179688
151,-1300.0,292.0,577.0595703125
152,-1316.0,276.0,576.3016357421875
153,-1326.0,266.0,575.2344970703125
154,-1344.0,248.0,573.6104736328125
155,-1366.0,226.0,572.411865234375
156,-1374.0,218.0,570.2391357421875
157,-1422.0,170.0,567.9896240234375
158,-1412.0,180.0,566.0045776367188
159,-1438.0,154.0,563.3026123046875
160,-1478.0,114.0,561.4421997070312
161,-1468.0,124.0,559.8833618164062
162,-1446.0,146.0,557.946044921875
163,-1470.0,122.0,556.7686767578125
164,-1470.0,122.0,555.527099609375
165,-1490.0,102.0,553.9382934570312
166,-1482.0,110.0,552.5199584960938
167,-1482.0,110.0,550.741943359375
