step,discrete_cut,gap,entropy
106,31938.0,1399.0,450.8385925292969
107,31971.0,1366.0,450.2467956542969
108,32061.0,1276.0,449.67730712890625
109,32150.0,1187.0,449.1395263671875
110,32137.0,1200.0,448.6219177246094
111,32147.0,1190.0,448.1170654296875
112,32127.0,1210.0,447.6359252929687
113,32146.0,1191.0,447.19134521484375
114,32188.0,1149.0,446.7794494628906
115,32143.0,1194.0,446.3843994140625
116,32155.0,1182.0,445.9957580566406
117,32169.0,1168.0,445.608642578125
118,32170.0,1167.0,445.21728515625
119,32157.0,1180.0,444.82086181640625
120,32100.0,1237.0,444.41510009765625
121,32142.0,1195.0,443.9861755371094
122,32131.0,1206.0,443.53765869140625
123,32117.0,1220.0,443.0975036621094
124,32094.0,1243.0,442.6797790527344
125,32121.0,1216.0,442.2763977050781
126,32119.0,1218.0,441.8909301757813
127,32086.0,1251.0,441.53704833984375
128,32103.0,1234.0,441.2107849121094
129,32122.0,1215.0,440.9020385742187
130,32111.0,1226.0,440.6114501953125
131,32090.0,1247.0,440.3428649902344
132,32115.0,1222.0,440.10064697265625
133,32102.0,1235.0,439.87890625
134,32092.0,1245.0,439.65435791015625
135,32108.0,1229.0,439.4097900390625
136,32123.0,1214.0,439.14703369140625
137,32182.0,1155.0,438.8649597167969
138,32206.0,1131.0,438.5579223632813
139,32206.0,1131.0,438.2318115234375
140,32210.0,1127.0,437.888916015625
141,32184.0,1153.0,437.5301513671875
142,32144.0,1193.0,437.1574401855469
143,32145.0,1192.0,436.7796630859375
144,32082.0,1255.0,436.3836669921875
145,32109.0,1228.0,435.9783935546875
146,32156.0,1181.0,435.5498962402344
147,32157.0,1180.0,435.1145935058594
148,32169.0,1168.0,434.68206787109375
149,32153.0,1184.0,434.2178649902344
150,32164.0,1173.0,433.7732849121094
151,32137.0,1200.0,433.3197021484375
152,32119.0,1218.0,432.8646240234375
153,32150.0,1187.0,432.4356689453125
154,32163.0,1174.0,432.02825927734375
155,32153.0,1184.0,431.6461791992187
156,32129.0,1208.0,431.2854614257813
157,32116.0,1221.0,430.9535827636719
158,32161.0,1176.0,430.6378784179687
159,32112.0,1225.0,430.3173828125
