step,discrete_cut,gap,entropy
62,445.0,496.0,23.391468048095703
63,449.0,492.0,30.554487228393555
64,501.0,440.0,35.67262268066406
65,484.0,457.0,30.121835708618164
66,518.0,423.0,21.070594787597656
67,565.0,376.0,15.248893737792969
68,611.0,330.0,14.184520721435547
69,641.0,300.0,13.645288467407227
70,628.0,313.0,13.967068672180176
71,665.0,276.0,12.058926582336426
72,651.0,290.0,10.258580207824707
73,648.0,293.0,10.496109962463379
74,638.0,303.0,8.45360279083252
75,620.0,321.0,7.810380935668945
76,627.0,314.0,11.04158878326416
77,595.0,346.0,13.169776916503906
78,632.0,309.0,13.708113670349121
79,587.0,354.0,15.438058853149414
80,539.0,402.0,17.872875213623047
81,517.0,424.0,26.76126480102539
82,546.0,395.0,26.053781509399414
83,567.0,374.0,25.750864028930664
84,575.0,366.0,21.106807708740234
85,620.0,321.0,21.354801177978516
86,570.0,371.0,22.021291732788086
87,612.0,329.0,19.86762809753418
88,608.0,333.0,16.668926239013672
89,633.0,308.0,15.647239685058594
90,643.0,298.0,15.05667495727539
91,645.0,296.0,15.006759643554688
92,638.0,303.0,13.922405242919922
93,652.0,289.0,13.106285095214844
94,653.0,288.0,13.488557815551758
95,650.0,291.0,15.919251441955566
96,598.0,343.0,17.263444900512695
97,596.0,345.0,21.82418441772461
98,613.0,328.0,24.06395721435547
99,603.0,338.0,19.031339645385742
100,608.0,333.0,20.36081314086914
101,591.0,350.0,23.933353424072266
102,569.0,372.0,21.80582618713379
103,574.0,367.0,17.770797729492188
104,617.0,324.0,20.49941635131836
105,580.0,361.0,18.7850341796875
106,578.0,363.0,21.524940490722656
107,578.0,363.0,20.990089416503906
108,564.0,377.0,13.893719673156738
109,623.0,318.0,12.987997055053711
110,626.0,315.0,16.940563201904297
111,640.0,301.0,13.80107307434082
112,619.0,322.0,18.949623107910156
113,598.0,343.0,16.414716720581055
114,577.0,364.0,16.48178482055664
115,578.0,363.0,16.21845054626465
116,567.0,374.0,20.264589309692383
117,535.0,406.0,18.083703994750977
118,526.0,415.0,20.235088348388672
119,576.0,365.0,18.986133575439453
120,558.0,383.0,22.145240783691406
121,551.0,390.0,21.202573776245117
122,549.0,392.0,19.2999210357666
123,519.0,422.0,20.098613739013672
124,565.0,376.0,17.585086822509766
125,592.0,349.0,16.546045303344727
126,597.0,344.0,14.73788833618164
127,578.0,363.0,15.996363639831543
128,559.0,382.0,17.569652557373047
129,587.0,354.0,15.988825798034668
130,582.0,359.0,20.753753662109375
131,621.0,320.0,17.898569107055664
132,639.0,302.0,19.506263732910156
133,618.0,323.0,16.773834228515625
134,608.0,333.0,18.75220489501953
135,603.0,338.0,16.94918441772461
136,565.0,376.0,20.835384368896484
137,542.0,399.0,18.723587036132812
138,556.0,385.0,19.198793411254883
139,580.0,361.0,15.713262557983398
140,587.0,354.0,16.018802642822266
141,616.0,325.0,17.26287269592285
142,647.0,294.0,17.722980499267578
143,637.0,304.0,18.933258056640625
144,639.0,302.0,16.969079971313477
145,646.0,295.0,16.521774291992188
146,622.0,319.0,16.64321517944336
147,613.0,328.0,18.572254180908203
148,581.0,360.0,22.452796936035156
149,600.0,341.0,19.967449188232422
150,628.0,313.0,18.276514053344727
151,627.0,314.0,16.299358367919922
152,632.0,309.0,20.766956329345703
153,639.0,302.0,17.03114128112793
154,638.0,303.0,21.105628967285156
155,616.0,325.0,20.035715103149414
156,633.0,308.0,18.542762756347656
157,606.0,335.0,20.98320770263672
158,630.0,311.0,16.795757293701172
159,617.0,324.0,18.17178726196289
160,563.0,378.0,22.739768981933594
161,594.0,347.0,22.571083068847656
162,621.0,320.0,19.09546661376953
163,612.0,329.0,17.725765228271484
164,601.0,340.0,16.727094650268555
165,611.0,330.0,19.485477447509766
166,588.0,353.0,19.408674240112305
167,596.0,345.0,21.71884536743164
168,583.0,358.0,24.15270233154297
169,608.0,333.0,21.095367431640625
170,608.0,333.0,22.253795623779297
171,596.0,345.0,20.03668212890625
172,607.0,334.0,15.050418853759766
173,636.0,305.0,15.841863632202148
174,606.0,335.0,18.56123924255371
175,616.0,325.0,20.918424606323242
