method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,7,1837200122,-1825.0,,4.0,0.002186987424822307,False,,747,179.56160025001736
lqa,7,1837200122,-1809.0,,20.0,0.010934937124111536,False,,0,0.12357875000452623
qefem,8,3470335785,-1827.0,,2.0,0.0010934937124111536,False,,2291,193.66643987499992
lqa,8,3470335785,-1807.0,,22.0,0.01202843083652269,False,,0,0.1501692500023637
qefem,9,4118616382,-1827.0,,2.0,0.0010934937124111536,False,,2087,239.788413916016
lqa,9,4118616382,-1801.0,,28.0,0.01530891197375615,False,,0,0.13116020799498074
qefem,0,903741298,-1791.0,,0.0,0.0,True,,278,183.6795179580222
lqa,0,903741298,-1771.0,,20.0,0.011166945840312675,False,,0,0.12035308399936184
qefem,1,2120621032,-1791.0,,0.0,0.0,True,,1286,191.79946541701793
lqa,1,2120621032,-1779.0,,12.0,0.006700167504187605,False,,0,0.12310012499801815
qefem,2,1804549925,-1791.0,,0.0,0.0,True,,3402,224.81798512500245
lqa,2,1804549925,-1779.0,,12.0,0.006700167504187605,False,,0,0.1226659579842817
qefem,3,3549923301,-1791.0,,0.0,0.0,True,,704,204.2909510830068
lqa,3,3549923301,-1779.0,,12.0,0.006700167504187605,False,,0,0.15349349999451078
qefem,4,233415601,-1791.0,,0.0,0.0,True,,78,191.1428385420004
lqa,4,233415601,-1765.0,,26.0,0.014517029592406477,False,,0,0.12398345800465904
qefem,5,722795232,-1791.0,,0.0,0.0,True,,93,180.29890683401027
lqa,5,722795232,-1769.0,,22.0,0.012283640424343942,False,,0,0.12106466601835564
qefem,6,890685793,-1791.0,,0.0,0.0,True,,2005,179.25536783301504
lqa,6,890685793,-1761.0,,30.0,0.01675041876046901,False,,0,0.1247033329855185
qefem,7,1724984041,-1791.0,,0.0,0.0,True,,1908,183.4945425830083
lqa,7,1724984041,-1777.0,,14.0,0.007816862088218872,False,,0,0.12353095802245662
qefem,8,2836918672,-1791.0,,0.0,0.0,True,,351,181.63282466700184
lqa,8,2836918672,-1775.0,,16.0,0.00893355667225014,False,,0,0.12190616602310911
qefem,9,191022785,-1791.0,,0.0,0.0,True,,1924,177.85358241701033
lqa,9,191022785,-1769.0,,22.0,0.012283640424343942,False,,0,0.11996570799965411
qefem,0,862309687,-1720.0,,0.0,0.0,True,,2135,161.14772950002225
lqa,0,862309687,-1712.0,,8.0,0.004651162790697674,False,,0,0.12037066699122079
qefem,1,3411001820,-1720.0,,0.0,0.0,True,,734,160.1343960830127
lqa,1,3411001820,-1708.0,,12.0,0.0069767441860465115,False,,0,0.11889762498321943
qefem,2,2174993719,-1720.0,,0.0,0.0,True,,2232,160.51445729201077
lqa,2,2174993719,-1704.0,,16.0,0.009302325581395349,False,,0,0.12100554100470617
qefem,3,4007172253,-1720.0,,0.0,0.0,True,,2999,160.64494341699174
lqa,3,4007172253,-1706.0,,14.0,0.00813953488372093,False,,0,0.12127862498164177
qefem,4,2203699778,-1720.0,,0.0,0.0,True,,2032,161.22182612499455
lqa,4,2203699778,-1704.0,,16.0,0.009302325581395349,False,,0,0.12035741700674407
qefem,5,587696403,-1720.0,,0.0,0.0,True,,3676,160.78277766698739
lqa,5,587696403,-1700.0,,20.0,0.011627906976744186,False,,0,0.12088075000792742
qefem,6,3204084987,-1720.0,,0.0,0.0,True,,273,161.4281080000219
lqa,6,3204084987,-1708.0,,12.0,0.0069767441860465115,False,,0,0.12174212498939596
qefem,7,547472517,-1720.0,,0.0,0.0,True,,506,161.03717829100788
lqa,7,547472517,-1702.0,,18.0,0.010465116279069767,False,,0,0.12046433301293291
qefem,8,351187939,-1720.0,,0.0,0.0,True,,706,161.20090312501998
lqa,8,351187939,-1700.0,,20.0,0.011627906976744186,False,,0,0.1182136670104228
qefem,9,80249580,-1720.0,,0.0,0.0,True,,1636,161.22653899999568
lqa,9,80249580,-1698.0,,22.0,0.012790697674418604,False,,0,0.1196719590225257
qefem,0,3959532286,-1679.0,,0.0,0.0,True,,17,160.40828337499988
lqa,0,3959532286,-1675.0,,4.0,0.0023823704586063135,False,,0,0.11919554200721905
qefem,1,3774516246,-1679.0,,0.0,0.0,True,,56,160.56921895800042
lqa,1,3774516246,-1667.0,,12.0,0.00714711137581894,False,,0,0.12026529098511674
qefem,2,3170299607,-1679.0,,0.0,0.0,True,,19,159.595451916015
lqa,2,3170299607,-1673.0,,6.0,0.00357355568790947,False,,0,0.11945675002061762
qefem,3,3269461455,-1679.0,,0.0,0.0,True,,24,160.02012083301088
lqa,3,3269461455,-1673.0,,6.0,0.00357355568790947,False,,0,0.12101750000147149
qefem,4,3998570360,-1679.0,,0.0,0.0,True,,26,160.0335294159886
lqa,4,3998570360,-1673.0,,6.0,0.00357355568790947,False,,0,0.11922325001796708
qefem,5,900092448,-1679.0,,0.0,0.0,True,,53,159.44039795798017
lqa,5,900092448,-1673.0,,6.0,0.00357355568790947,False,,0,0.1176662500074599
qefem,6,1307185851,-1679.0,,0.0,0.0,True,,6,159.32697566700517
lqa,6,1307185851,-1671.0,,8.0,0.004764740917212627,False,,0,0.11981425000703894
qefem,7,4157578062,-1679.0,,0.0,0.0,True,,50,160.06293483398622
lqa,7,4157578062,-1671.0,,8.0,0.004764740917212627,False,,0,0.11667570797726512
qefem,8,1297640491,-1679.0,,0.0,0.0,True,,14,159.8194885420089
lqa,8,1297640491,-1671.0,,8.0,0.004764740917212627,False,,0,0.12055937500554137
qefem,9,357743073,-1679.0,,0.0,0.0,True,,19,160.0178303749999
lqa,9,357743073,-1671.0,,8.0,0.004764740917212627,False,,0,0.1178109580068849
qefem,0,3023034169,-1633.0,,0.0,0.0,True,,15,160.43107575000613
